,Date,NumRides
241,11/26/2014,758
242,11/26/2015,106
243,11/27/2013,720
244,11/27/2014,133
245,11/27/2015,171
246,11/28/2013,272
247,11/28/2014,277
248,11/28/2015,188
249,11/29/2013,384
250,11/29/2014,281
251,11/29/2015,165
252,11/3/2013,372
253,11/3/2014,1347
254,11/3/2015,1246
255,11/30/2013,307
256,11/30/2014,121
257,11/30/2015,988
258,11/4/2013,1128
259,11/4/2014,1302
260,11/4/2015,1204
261,11/5/2013,1158
262,11/5/2014,1382
263,11/5/2015,1266
264,11/6/2013,1085
265,11/6/2014,1410
266,11/6/2015,1124
267,11/7/2013,1197
268,11/7/2014,1301
269,11/7/2015,356
270,11/8/2013,1172
271,11/8/2014,512
272,11/8/2015,191
273,11/9/2013,634
274,11/9/2014,377
275,11/9/2015,806
276,12/1/2013,329
277,12/1/2014,1181
278,12/1/2015,1117
279,12/10/2013,878
280,12/10/2014,1279
281,12/10/2015,898
282,12/11/2013,903
283,12/11/2014,107
284,12/11/2015,893
285,12/12/2013,966
286,12/12/2014,622
287,12/12/2015,228
288,12/13/2013,962
289,12/13/2014,368
290,12/13/2015,77
291,12/14/2013,392
292,12/14/2014,264
293,12/14/2015,999
294,12/15/2013,319
295,12/15/2014,644
296,12/15/2015,1050
297,12/16/2013,946
298,12/16/2014,770
299,12/16/2015,1066
300,12/17/2013,975
301,12/17/2014,809
302,12/17/2015,990
303,12/18/2013,928
304,12/18/2014,1126
305,12/18/2015,801
306,12/19/2013,935
307,12/19/2014,532
308,12/19/2015,245
309,12/2/2013,878
310,12/2/2014,491
311,12/2/2015,1096
312,12/20/2013,867
313,12/20/2014,305
314,12/20/2015,51
315,12/21/2013,354
316,12/21/2014,246
317,12/21/2015,341
318,12/22/2013,307
319,12/22/2014,1021
320,12/22/2015,539
321,12/23/2013,651
322,12/23/2014,806
323,12/23/2015,563
324,12/24/2013,336
325,12/24/2014,308
326,12/24/2015,124
327,12/25/2013,360
328,12/25/2014,150
329,12/25/2015,106
330,12/26/2013,422
331,12/26/2014,329
332,12/26/2015,128
333,12/27/2013,425
334,12/27/2014,231
335,12/27/2015,146
336,12/28/2013,403
337,12/28/2014,297
338,12/28/2015,475
339,12/29/2013,318
340,12/29/2014,627
341,12/29/2015,502
342,12/3/2013,917
343,12/3/2014,804
344,12/3/2015,898
345,12/30/2013,605
346,12/30/2014,486
347,12/30/2015,319
348,12/31/2013,505
349,12/31/2014,386
350,12/31/2015,264
351,12/4/2013,992
352,12/4/2014,1125
353,12/4/2015,992
354,12/5/2013,936
355,12/5/2014,980
356,12/5/2015,213
357,12/6/2013,727
358,12/6/2014,419
359,12/6/2015,105
360,12/7/2013,277
361,12/7/2014,296
362,12/7/2015,1027
363,12/8/2013,274
364,12/8/2014,1363
365,12/8/2015,1109
366,12/9/2013,807
367,12/9/2014,1305
368,12/9/2015,1028
369,2/1/2014,383
370,2/1/2015,251
371,2/1/2016,1013
372,2/10/2014,803
373,2/10/2015,1368
374,2/10/2016,1167
375,2/11/2014,939
376,2/11/2015,1343
377,2/11/2016,1176
378,2/12/2014,1015
379,2/12/2015,1305
380,2/12/2016,1063
381,2/13/2014,937
382,2/13/2015,1295
383,2/13/2016,353
384,2/14/2014,958
385,2/14/2015,563
386,2/14/2016,341
387,2/15/2014,415
388,2/15/2015,375
389,2/15/2016,463
390,2/16/2014,415
391,2/16/2015,543
392,2/16/2016,1155
393,2/17/2014,464
394,2/17/2015,1279
395,2/17/2016,973
396,2/18/2014,1013
397,2/18/2015,1238
398,2/18/2016,1036
399,2/19/2014,1012
400,2/19/2015,1172
401,2/19/2016,904
402,2/2/2014,128
403,2/2/2015,1312
404,2/2/2016,865
405,2/20/2014,974
406,2/20/2015,1101
407,2/20/2016,307
408,2/21/2014,937
409,2/21/2015,333
410,2/21/2016,235
411,2/22/2014,466
412,2/22/2015,289
413,2/22/2016,1187
414,2/23/2014,317
415,2/23/2015,1280
416,2/23/2016,1182
417,2/24/2014,1011
418,2/24/2015,1169
419,2/24/2016,1163
420,2/25/2014,1090
421,2/25/2015,1209
422,2/25/2016,1176
423,2/26/2014,392
424,2/26/2015,1242
425,2/26/2016,1034
426,2/27/2014,872
427,2/27/2015,1092
428,2/27/2016,337
429,2/28/2014,538
430,2/28/2015,330
431,2/28/2016,242
432,2/29/2016,1152
433,2/3/2014,962
434,2/3/2015,1363
435,2/3/2016,1042
436,2/4/2014,994
437,2/4/2015,1364
438,2/4/2016,1062
439,2/5/2014,862
440,2/5/2015,1272
441,2/5/2016,948
442,2/6/2014,486
443,2/6/2015,608
444,2/6/2016,410
445,2/7/2014,466
446,2/7/2015,318
447,2/7/2016,270
448,2/8/2014,94
449,2/8/2015,141
450,2/8/2016,1160
451,2/9/2014,81
452,2/9/2015,1246
453,2/9/2016,1144
454,3/1/2014,318
455,3/1/2015,338
456,3/1/2016,1256
457,3/10/2014,980
458,3/10/2015,1184
459,3/10/2016,691
460,3/11/2014,1112
461,3/11/2015,1214
462,3/11/2016,520
463,3/12/2014,1044
464,3/12/2015,1328
465,3/12/2016,176
466,3/13/2014,1133
467,3/13/2015,1208
468,3/13/2016,50
469,3/14/2014,1022
470,3/14/2015,479
471,3/14/2016,1119
472,3/15/2014,504
473,3/15/2015,377
474,3/15/2016,1206
475,3/16/2014,445
476,3/16/2015,1295
477,3/16/2016,1189
478,3/17/2014,1002
479,3/17/2015,1365
480,3/17/2016,1114
481,3/18/2014,1139
482,3/18/2015,1319
483,3/18/2016,1011
