,Date,NumRides,TotalMinutes
218,11/19/2015,1145,11202
219,11/2/2013,544,20192
220,11/2/2014,372,14294
221,11/2/2015,863,8662
222,11/20/2013,625,7911
223,11/20/2014,886,9724
224,11/20/2015,1172,18434
225,11/21/2013,1102,11978
226,11/21/2014,1210,13107
227,11/21/2015,277,8342
228,11/22/2013,995,14803
229,11/22/2014,343,11002
230,11/22/2015,244,6540
231,11/23/2013,525,19149
232,11/23/2014,235,4168
233,11/23/2015,1052,10757
234,11/24/2013,348,11990
235,11/24/2014,1285,15287
236,11/24/2015,911,9657
237,11/25/2013,1019,11497
238,11/25/2014,1183,17547
239,11/25/2015,652,5908
240,11/26/2013,1004,14230
241,11/26/2014,758,8601
242,11/26/2015,106,5380
243,11/27/2013,720,11420
244,11/27/2014,133,8881
245,11/27/2015,171,4741
246,11/28/2013,272,16529
247,11/28/2014,277,10617
248,11/28/2015,188,9419
249,11/29/2013,384,32282
250,11/29/2014,281,6129
251,11/29/2015,165,3994
252,11/3/2013,372,15167
253,11/3/2014,1347,17064
254,11/3/2015,1246,12681
255,11/30/2013,307,28862
256,11/30/2014,121,4096
257,11/30/2015,988,11036
258,11/4/2013,1128,19183
259,11/4/2014,1302,15481
260,11/4/2015,1204,11667
261,11/5/2013,1158,15271
262,11/5/2014,1382,20186
263,11/5/2015,1266,14940
264,11/6/2013,1085,14028
265,11/6/2014,1410,16321
266,11/6/2015,1124,13889
267,11/7/2013,1197,21086
268,11/7/2014,1301,14798
269,11/7/2015,356,10032
270,11/8/2013,1172,22707
271,11/8/2014,512,17515
272,11/8/2015,191,2785
273,11/9/2013,634,25006
274,11/9/2014,377,13254
275,11/9/2015,806,8079
276,12/1/2013,329,11717
277,12/1/2014,1181,14570
278,12/1/2015,1117,10394
279,12/10/2013,878,9448
280,12/10/2014,1279,13573
281,12/10/2015,898,8177
282,12/11/2013,903,9869
283,12/11/2014,107,2185
284,12/11/2015,893,10097
285,12/12/2013,966,12738
286,12/12/2014,622,22231
287,12/12/2015,228,6165
288,12/13/2013,962,12788
289,12/13/2014,368,11762
290,12/13/2015,77,2254
291,12/14/2013,392,8882
292,12/14/2014,264,18783
293,12/14/2015,999,9768
294,12/15/2013,319,9216
295,12/15/2014,644,18431
296,12/15/2015,1050,10446
297,12/16/2013,946,16228
298,12/16/2014,770,25853
299,12/16/2015,1066,13594
300,12/17/2013,975,10504
301,12/17/2014,809,22160
302,12/17/2015,990,11512
303,12/18/2013,928,23966
304,12/18/2014,1126,11972
305,12/18/2015,801,8027
306,12/19/2013,935,10352
307,12/19/2014,532,6411
308,12/19/2015,245,4696
309,12/2/2013,878,8933
