,Date,NumRides,TotalMinutes
956,8/22/2015,421,12118
957,8/22/2016,1176,13463
958,8/23/2014,485,32318
959,8/23/2015,311,8141
960,8/23/2016,1241,12855
961,8/24/2014,345,20470
962,8/24/2015,1309,22867
963,8/24/2016,1242,12032
964,8/25/2014,1371,19081
965,8/25/2015,1421,16547
966,8/25/2016,1184,13607
967,8/26/2014,1513,20015
968,8/26/2015,1465,18959
969,8/26/2016,1096,15546
970,8/27/2014,1479,28148
971,8/27/2015,1443,19509
972,8/27/2016,291,7251
973,8/28/2014,1340,16962
974,8/28/2015,1220,15472
975,8/28/2016,285,7139
976,8/29/2013,748,19464
977,8/29/2014,1252,23829
978,8/29/2015,342,13127
979,8/29/2016,1196,12704
980,8/3/2014,365,11736
981,8/3/2015,1283,16660
982,8/3/2016,1231,13942
983,8/30/2013,714,32167
984,8/30/2014,481,23530
985,8/30/2015,331,12819
986,8/30/2016,1213,11975
987,8/31/2013,640,39041
988,8/31/2014,473,28166
989,8/31/2015,1369,15347
990,8/31/2016,1176,15361
991,8/4/2014,1169,15458
992,8/4/2015,1360,18374
993,8/4/2016,1140,13114
994,8/5/2014,1313,19295
995,8/5/2015,1341,20277
996,8/5/2016,967,11743
997,8/6/2014,1254,14861
998,8/6/2015,1299,17727
999,8/6/2016,300,9596
1000,8/7/2014,1256,19048
1001,8/7/2015,1197,25870
1002,8/7/2016,275,11687
1003,8/8/2014,1170,19655
1004,8/8/2015,432,13892
1005,8/8/2016,1268,12968
1006,8/9/2014,376,10245
1007,8/9/2015,361,11919
1008,8/9/2016,1233,13970
1009,9/1/2013,706,40076
1010,9/1/2014,368,16434
1011,9/1/2015,1389,15267
1012,9/10/2013,892,13191
1013,9/10/2014,1351,18901
1014,9/10/2015,1357,16877
1015,9/11/2013,880,15567
1016,9/11/2014,1381,22458
1017,9/11/2015,1165,12988
1018,9/12/2013,942,24876
1019,9/12/2014,1308,29865
1020,9/12/2015,360,10251
1021,9/13/2013,981,25889
1022,9/13/2014,556,18232
1023,9/13/2015,301,8215
1024,9/14/2013,702,34699
1025,9/14/2014,435,15092
1026,9/14/2015,1177,13898
1027,9/15/2013,624,31917
1028,9/15/2014,1516,26541
1029,9/15/2015,1423,19377
1030,9/16/2013,914,16595
1031,9/16/2014,1438,27686
1032,9/16/2015,1239,15314
1033,9/17/2013,1073,19346
1034,9/17/2014,1429,19825
1035,9/17/2015,1312,15441
1036,9/18/2013,1110,17695
1037,9/18/2014,1186,14879
1038,9/18/2015,1272,19401
1039,9/19/2013,1044,15934
1040,9/19/2014,1245,16067
1041,9/19/2015,402,13705
1042,9/2/2013,661,25727
1043,9/2/2014,1319,17268
1044,9/2/2015,1313,14705
1045,9/20/2013,1102,18398
1046,9/20/2014,427,11569
1047,9/20/2015,325,10337
1048,9/21/2013,388,11746
1049,9/21/2014,313,11756
1050,9/21/2015,1343,15839
1051,9/22/2013,584,27215
1052,9/22/2014,1353,19519
1053,9/22/2015,1355,14662
1054,9/23/2013,1050,27942
1055,9/23/2014,1362,16689
1056,9/23/2015,1230,16511
1057,9/24/2013,1075,18391
1058,9/24/2014,1301,20130
1059,9/24/2015,1342,18238
1060,9/25/2013,1264,23546
1061,9/25/2014,1177,17673
1062,9/25/2015,1280,20427
1063,9/26/2013,1082,21773
1064,9/26/2014,1242,18821
1065,9/26/2015,364,17911
1066,9/27/2013,1101,23683
1067,9/27/2014,464,11307
1068,9/27/2015,349,14680
1069,9/28/2013,612,19800
1070,9/28/2014,376,23302
1071,9/28/2015,1304,15700
1072,9/29/2013,517,15182
1073,9/29/2014,1335,15652
1074,9/29/2015,1408,16809
1075,9/3/2013,597,17351
1076,9/3/2014,1404,15637
1077,9/3/2015,1294,16957
1078,9/30/2013,976,19281
1079,9/30/2014,1304,15149
1080,9/30/2015,1203,12102
1081,9/4/2013,606,17895
1082,9/4/2014,1389,16094
1083,9/4/2015,1129,13542
1084,9/5/2013,677,16070
1085,9/5/2014,1265,19160
1086,9/5/2015,386,12370
1087,9/6/2013,814,22249
1088,9/6/2014,435,13037
1089,9/6/2015,318,12304
1090,9/7/2013,796,32397
1091,9/7/2014,336,14917
1092,9/7/2015,318,12101
1093,9/8/2013,704,30955
1094,9/8/2014,1305,26584
1095,9/8/2015,1333,15474
1096,9/9/2013,769,18543
1097,9/9/2014,1362,22408
1098,9/9/2015,1405,18680
