,Unnamed: 0,Date,NumRides,TotalMinutes,MinCategorize
129,129,10/20/2013,452,19607,15000 to 24999
130,130,10/20/2014,1266,16900,15000 to 24999
131,131,10/20/2015,1403,16840,15000 to 24999
132,132,10/21/2013,1015,13917,10000 to 14999
133,133,10/21/2014,1410,15783,15000 to 24999
134,134,10/21/2015,1328,15197,15000 to 24999
135,135,10/22/2013,1026,12350,10000 to 14999
136,136,10/22/2014,1319,16892,15000 to 24999
137,137,10/22/2015,1328,15438,15000 to 24999
138,138,10/23/2013,1029,12212,10000 to 14999
139,139,10/23/2014,1389,18502,15000 to 24999
140,140,10/23/2015,1204,13420,10000 to 14999
141,141,10/24/2013,1053,11837,10000 to 14999
142,142,10/24/2014,1427,23836,15000 to 24999
143,143,10/24/2015,345,10942,10000 to 14999
144,144,10/25/2013,1048,16514,15000 to 24999
145,145,10/25/2014,406,11849,10000 to 14999
146,146,10/25/2015,295,11775,10000 to 14999
147,147,10/26/2013,501,26499,25000 to 49999
148,148,10/26/2014,470,15317,15000 to 24999
149,149,10/26/2015,1260,13129,10000 to 14999
150,150,10/27/2013,292,11947,10000 to 14999
151,151,10/27/2014,1393,14937,10000 to 14999
152,152,10/27/2015,1270,12722,10000 to 14999
153,153,10/28/2013,967,10871,10000 to 14999
154,154,10/28/2014,1419,15398,15000 to 24999
155,155,10/28/2015,1235,13142,10000 to 14999
156,156,10/29/2013,1008,13109,10000 to 14999
157,157,10/29/2014,1496,17847,15000 to 24999
158,158,10/29/2015,1310,15751,15000 to 24999
159,159,10/3/2013,1158,21792,15000 to 24999
160,160,10/3/2014,1194,15495,15000 to 24999
161,161,10/3/2015,304,13236,10000 to 14999
162,162,10/30/2013,1122,12696,10000 to 14999
163,163,10/30/2014,1411,30275,25000 to 49999
164,164,10/30/2015,1229,15490,15000 to 24999
165,165,10/31/2013,1150,18297,15000 to 24999
166,166,10/31/2014,848,15719,15000 to 24999
167,167,10/31/2015,263,7017,4000 to 7499
168,168,10/4/2013,1088,18826,15000 to 24999
169,169,10/4/2014,418,13427,10000 to 14999
170,170,10/4/2015,309,9114,7500 to 9999
171,171,10/5/2013,716,28897,25000 to 49999
172,172,10/5/2014,324,11499,10000 to 14999
173,173,10/5/2015,1287,14890,10000 to 14999
174,174,10/6/2013,606,23134,15000 to 24999
175,175,10/6/2014,1169,12918,10000 to 14999
176,176,10/6/2015,1326,14861,10000 to 14999
177,177,10/7/2013,964,16648,15000 to 24999
178,178,10/7/2014,1293,16673,15000 to 24999
179,179,10/7/2015,1326,15960,15000 to 24999
180,180,10/8/2013,1018,23809,15000 to 24999
181,181,10/8/2014,1367,14817,10000 to 14999
182,182,10/8/2015,1285,17522,15000 to 24999
183,183,10/9/2013,1069,16483,15000 to 24999
184,184,10/9/2014,1306,12764,10000 to 14999
185,185,10/9/2015,1196,17353,15000 to 24999
186,186,11/1/2013,1120,18534,15000 to 24999
187,187,11/1/2014,395,11551,10000 to 14999
188,188,11/1/2015,240,6203,4000 to 7499
189,189,11/10/2013,482,16134,15000 to 24999
190,190,11/10/2014,1304,13477,10000 to 14999
191,191,11/10/2015,1260,15042,15000 to 24999
192,192,11/11/2013,986,16990,15000 to 24999
193,193,11/11/2014,1213,13283,10000 to 14999
194,194,11/11/2015,1128,12283,10000 to 14999
195,195,11/12/2013,1154,13233,10000 to 14999
196,196,11/12/2014,1363,14347,10000 to 14999
197,197,11/12/2015,1238,13389,10000 to 14999
198,198,11/13/2013,1002,10180,10000 to 14999
199,199,11/13/2014,1133,12910,10000 to 14999
200,200,11/13/2015,1166,13787,10000 to 14999
201,201,11/14/2013,1115,15686,15000 to 24999
202,202,11/14/2014,1210,13036,10000 to 14999
203,203,11/14/2015,320,9545,7500 to 9999
204,204,11/15/2013,1131,23534,15000 to 24999
205,205,11/15/2014,384,16145,15000 to 24999
206,206,11/15/2015,197,5480,4000 to 7499
207,207,11/16/2013,474,16597,15000 to 24999
208,208,11/16/2014,267,5478,4000 to 7499
209,209,11/16/2015,1220,14730,10000 to 14999
210,210,11/17/2013,406,12735,10000 to 14999
211,211,11/17/2014,1304,14102,10000 to 14999
212,212,11/17/2015,1207,12596,10000 to 14999
213,213,11/18/2013,1008,16470,15000 to 24999
214,214,11/18/2014,1322,13117,10000 to 14999
215,215,11/18/2015,1253,13159,10000 to 14999
216,216,11/19/2013,750,7483,4000 to 7499
217,217,11/19/2014,906,8716,7500 to 9999
218,218,11/19/2015,1145,11202,10000 to 14999
219,219,11/2/2013,544,20192,15000 to 24999
220,220,11/2/2014,372,14294,10000 to 14999
221,221,11/2/2015,863,8662,7500 to 9999
222,222,11/20/2013,625,7911,7500 to 9999
223,223,11/20/2014,886,9724,7500 to 9999
224,224,11/20/2015,1172,18434,15000 to 24999
225,225,11/21/2013,1102,11978,10000 to 14999
226,226,11/21/2014,1210,13107,10000 to 14999
227,227,11/21/2015,277,8342,7500 to 9999
228,228,11/22/2013,995,14803,10000 to 14999
229,229,11/22/2014,343,11002,10000 to 14999
230,230,11/22/2015,244,6540,4000 to 7499
231,231,11/23/2013,525,19149,15000 to 24999
232,232,11/23/2014,235,4168,4000 to 7499
233,233,11/23/2015,1052,10757,10000 to 14999
234,234,11/24/2013,348,11990,10000 to 14999
235,235,11/24/2014,1285,15287,15000 to 24999
236,236,11/24/2015,911,9657,7500 to 9999
237,237,11/25/2013,1019,11497,10000 to 14999
238,238,11/25/2014,1183,17547,15000 to 24999
239,239,11/25/2015,652,5908,4000 to 7499
240,240,11/26/2013,1004,14230,10000 to 14999
241,241,11/26/2014,758,8601,7500 to 9999
242,242,11/26/2015,106,5380,4000 to 7499
243,243,11/27/2013,720,11420,10000 to 14999
244,244,11/27/2014,133,8881,7500 to 9999
245,245,11/27/2015,171,4741,4000 to 7499
246,246,11/28/2013,272,16529,15000 to 24999
247,247,11/28/2014,277,10617,10000 to 14999
248,248,11/28/2015,188,9419,7500 to 9999
249,249,11/29/2013,384,32282,25000 to 49999
250,250,11/29/2014,281,6129,4000 to 7499
251,251,11/29/2015,165,3994,2000 to 3999
252,252,11/3/2013,372,15167,15000 to 24999
253,253,11/3/2014,1347,17064,15000 to 24999
254,254,11/3/2015,1246,12681,10000 to 14999
255,255,11/30/2013,307,28862,25000 to 49999
256,256,11/30/2014,121,4096,4000 to 7499
257,257,11/30/2015,988,11036,10000 to 14999
258,258,11/4/2013,1128,19183,15000 to 24999
259,259,11/4/2014,1302,15481,15000 to 24999
260,260,11/4/2015,1204,11667,10000 to 14999
261,261,11/5/2013,1158,15271,15000 to 24999
262,262,11/5/2014,1382,20186,15000 to 24999
263,263,11/5/2015,1266,14940,10000 to 14999
264,264,11/6/2013,1085,14028,10000 to 14999
265,265,11/6/2014,1410,16321,15000 to 24999
266,266,11/6/2015,1124,13889,10000 to 14999
267,267,11/7/2013,1197,21086,15000 to 24999
268,268,11/7/2014,1301,14798,10000 to 14999
